번호,종목코드,종목명,fullcode
171,A002780,진흥기업,KR7002780005
172,A002785,진흥기업,KR7002781003
173,A002787,진흥기업,KR7002782001
174,A002790,아모레G,KR7002790004
175,A002795,아모레G,KR7002791002
176,A00279K,아모레G3우,KR700279K010
177,A002800,신신제약,KR7002800001
178,A002810,삼영무역,KR7002810000
179,A002820,SUN&L,KR7002820009
180,A002840,미원상사,KR7002840007
181,A002870,신풍제지,KR7002870004
182,A002880,대유에이텍,KR7002880003
183,A002900,TYM,KR7002900009
184,A002920,유성기업,KR7002920007
185,A002960,한국쉘석유,KR7002960003
186,A002990,금호건설,KR7002990000
187,A002995,금호건설,KR7002991008
188,A003000,부광약품,KR7003000007
189,A003010,혜인,KR7003010006
190,A003030,세아제강지주,KR7003030004
191,A003060,에이프로젠제약,KR7003060001
192,A003070,코오롱글로벌,KR7003070000
193,A003075,코오롱글로벌,KR7003071008
194,A003080,성보화학,KR7003080009
195,A003090,대웅,KR7003090008
196,A003100,선광,KR7003100005
197,A003120,일성신약,KR7003120003
198,A003160,디아이,KR7003160009
199,A003200,일신방직,KR7003200003
200,A003220,대원제약,KR7003220001
201,A003230,삼양식품,KR7003230000
202,A003240,태광산업,KR7003240009
203,A003260,서광,KR7003260007
204,A003280,흥아해운,KR7003280005
205,A003300,한일홀딩스,KR7003300001
206,A003310,대주산업,KR7003310000
207,A003340,SK에코플랜트,KR7003340007
208,A003350,한국화장품제조,KR7003350006
209,A003380,하림지주,KR7003380003
210,A003410,쌍용C&E,KR7003410008
211,A003460,유화증권,KR7003460003
212,A003465,유화증권,KR7003461001
213,A003470,유안타증권,KR7003470002
214,A003475,유안타증권,KR7003471000
215,A003480,한진중공업홀딩스,KR7003480001
216,A003490,대한항공,KR7003490000
217,A003495,대한항공,KR7003491008
218,A003520,영진약품,KR7003520004
219,A003530,한화투자증권,KR7003530003
220,A003535,한화투자증권,KR7003531001
221,A003540,대신증권,KR7003540002
222,A003545,대신증권,KR7003541000
223,A003547,대신증권,KR7003542008
224,A003550,LG,KR7003550001
225,A003555,LG,KR7003551009
226,A003560,IHQ,KR7003560000
227,A003570,SNT중공업,KR7003570009
228,A003580,넥스트사이언스,KR7003580008
229,A003610,방림,KR7003610003
230,A003620,쌍용차,KR7003620002
231,A003650,미창석유,KR7003650009
232,A003670,포스코케미칼,KR7003670007
233,A003680,한성기업,KR7003680006
234,A003690,코리안리,KR7003690005
235,A003720,삼영화학,KR7003720000
236,A003780,진양산업,KR7003780004
237,A003800,에이스침대,KR7003800000
238,A003830,대한화섬,KR7003830007
239,A003850,보령제약,KR7003850005
240,A003920,남양유업,KR7003920006
241,A003925,남양유업,KR7003921004
242,A003960,사조대림,KR7003960002
243,A004000,롯데정밀화학,KR7004000006
244,A004020,현대제철,KR7004020004
245,A004060,SG세계물산,KR7004060000
246,A004080,신흥,KR7004080008
247,A004090,한국석유,KR7004090007
248,A004100,태양금속,KR7004100004
249,A004105,태양금속,KR7004101002
250,A004140,동방,KR7004140000
251,A004150,한솔홀딩스,KR7004150009
252,A004170,신세계,KR7004170007
253,A004250,NPC,KR7004250007
254,A004255,NPC,KR7004251005
255,A004270,남성,KR7004270005
256,A004310,현대약품,KR7004310009
257,A004360,세방,KR7004360004
258,A004365,세방,KR7004361002
259,A004370,농심,KR7004370003
260,A004380,삼익THK,KR7004380002
261,A004410,서울식품,KR7004410007
262,A004415,서울식품,KR7004411005
263,A004430,송원산업,KR7004430005
264,A004440,삼일씨엔에스,KR7004440004
265,A004450,삼화왕관,KR7004450003
266,A004490,세방전지,KR7004490009
267,A004540,깨끗한나라,KR7004540001
268,A004545,깨끗한나라,KR7004541009
269,A004560,현대비앤지스틸,KR7004560009
270,A004565,현대비앤지스틸,KR7004561007
271,A004590,한국가구,KR7004590006
272,A004650,창해에탄올,KR7004650008
273,A004690,삼천리,KR7004690004
274,A004700,조광피혁,KR7004700001
275,A004710,한솔테크닉스,KR7004710000
276,A004720,팜젠사이언스,KR7004720009
277,A004770,써니전자,KR7004770004
278,A004780,대륙제관,KR7004780003
279,A004800,효성,KR7004800009
280,A004830,덕성,KR7004830006
281,A004835,덕성,KR7004831004
282,A004840,DRB동일,KR7004840005
283,A004870,티웨이홀딩스,KR7004870002
284,A004890,동일산업,KR7004890000
285,A004910,조광페인트,KR7004910006
286,A004920,씨아이테크,KR7004920005
287,A004960,한신공영,KR7004960001
288,A004970,신라교역,KR7004970000
289,A004980,성신양회,KR7004980009
290,A004985,성신양회,KR7004981007
291,A004990,롯데지주,KR7004990008
292,A00499K,롯데지주,KR700499K014
293,A005010,휴스틸,KR7005010004
294,A005030,부산주공,KR7005030002
295,A005070,코스모신소재,KR7005070008
296,A005090,SGC에너지,KR7005090006
297,A005110,한창,KR7005110002
298,A005160,동국산업,KR7005160007
299,A005180,빙그레,KR7005180005
300,A005250,녹십자홀딩스,KR7005250006
301,A005257,녹십자홀딩스,KR7005252002
302,A005290,동진쎄미켐,KR7005290002
303,A005300,롯데칠성,KR7005300009
304,A005305,롯데칠성,KR7005301007
305,A005320,국동,KR7005320007
306,A005360,모나미,KR7005360003
307,A005380,현대차,KR7005380001
308,A005385,현대차,KR7005381009
309,A005387,현대차,KR7005382007
310,A005389,현대차,KR7005383005
311,A005390,신성통상,KR7005390000
312,A005420,코스모화학,KR7005420005
313,A005430,한국공항,KR7005430004
314,A005440,현대그린푸드,KR7005440003
315,A005490,POSCO,KR7005490008
316,A005500,삼진제약,KR7005500004
317,A005610,SPC삼립,KR7005610001
318,A005670,푸드웰,KR7005670005
319,A005680,삼영전자,KR7005680004
320,A005690,파미셀,KR7005690003
321,A005710,대원산업,KR7005710009
322,A005720,넥센,KR7005720008
323,A005725,넥센,KR7005721006
324,A005740,크라운해태홀딩스,KR7005740006
325,A005745,크라운해태홀딩스,KR7005741004
326,A005750,대림B&Co,KR7005750005
327,A005800,신영와코루,KR7005800008
328,A005810,풍산홀딩스,KR7005810007
329,A005820,원림,KR7005820006
330,A005830,DB손해보험,KR7005830005
331,A005850,에스엘,KR7005850003
332,A005860,한일사료,KR7005860002
333,A005870,휴니드,KR7005870001
334,A005880,대한해운,KR7005880000
335,A005900,동양건설산업,KR7005900006
336,A005930,삼성전자,KR7005930003
337,A005935,삼성전자,KR7005931001
338,A005940,NH투자증권,KR7005940002
339,A005945,NH투자증권,KR7005941000
340,A005950,이수화학,KR7005950001
341,A005960,동부건설,KR7005960000
342,A005965,동부건설,KR7005961008
343,A005990,매일홀딩스,KR7005990007
344,A006040,동원산업,KR7006040000
345,A006050,국영지앤엠,KR7006050009
346,A006060,화승인더,KR7006060008
347,A006090,사조오양,KR7006090005
348,A006110,삼아알미늄,KR7006110001
349,A006120,SK디스커버리,KR7006120000
350,A006125,SK디스커버리,KR7006121008
351,A006140,피제이전자,KR7006140008
352,A006200,한국전자홀딩스,KR7006200000
353,A006220,제주은행,KR7006220008
354,A006260,LS,KR7006260004
355,A006280,녹십자,KR7006280002
356,A006340,대원전선,KR7006340004
357,A006345,대원전선,KR7006341002
358,A006360,GS건설,KR7006360002
359,A006370,대구백화점,KR7006370001
360,A006380,카프로,KR7006380000
361,A006390,한일현대시멘트,KR7006390009
362,A006400,삼성SDI,KR7006400006
363,A006405,삼성SDI,KR7006401004
364,A006490,인스코비,KR7006490007
365,A006570,대림통상,KR7006570006
366,A006580,대양제지,KR7006580005
367,A006620,동구바이오제약,KR7006620009
368,A006650,대한유화,KR7006650006
369,A006660,삼성공조,KR7006660005
370,A006730,서부T&D,KR7006730006
371,A006740,영풍제지,KR7006740005
372,A006800,미래에셋증권,KR7006800007
373,A006805,미래에셋증권,KR7006801005
374,A00680K,미래에셋증권,KR700680K019
375,A006840,AK홀딩스,KR7006840003
376,A006880,신송홀딩스,KR7006880009
377,A006890,태경케미컬,KR7006890008
378,A006910,보성파워텍,KR7006910004
379,A006920,모헨즈,KR7006920003
380,A006980,우성사료,KR7006980007
381,A007070,GS리테일,KR7007070006
382,A007110,일신석재,KR7007110000
383,A007120,미래아이앤지,KR7007120009
384,A007160,사조산업,KR7007160005
385,A007210,벽산,KR7007210008
386,A007280,한국특강,KR7007280001
387,A007310,오뚜기,KR7007310006
388,A007330,푸른저축은행,KR7007330004
389,A007340,디티알오토모티브,KR7007340003
390,A007370,진양제약,KR7007370000
391,A007390,네이처셀,KR7007390008
392,A007460,에이프로젠 MED,KR7007460009
393,A007530,영신금속,KR7007530009
394,A007540,샘표,KR7007540008
395,A007570,일양약품,KR7007570005
396,A007575,일양약품,KR7007571003
397,A007590,동방아그로,KR7007590003
398,A007610,선도전기,KR7007610009
399,A007630,폴루스바이오팜,KR7007630007
400,A007660,이수페타시스,KR7007660004
401,A007680,대원,KR7007680002
402,A007690,국도화학,KR7007690001
403,A007700,F&F홀딩스,KR7007700008
404,A007720,대명소노시즌,KR7007720006
405,A007770,한일화학,KR7007770001
406,A007810,코리아써키트,KR7007810005
407,A007815,코리아써우,KR7007811003
408,A00781K,코리아써키트,KR700781K015
409,A007820,에스엠코어,KR7007820004
410,A007860,서연,KR7007860000
411,A007980,태평양물산,KR7007980006
412,A008040,사조동아원,KR7008040008
413,A008060,대덕,KR7008060006
414,A00806K,대덕,KR700806K010
415,A008110,대동전자,KR7008110009
416,A008120,엠소닉,KR7008120008
417,A008250,이건산업,KR7008250003
418,A008260,NI스틸,KR7008260002
419,A008290,원풍물산,KR7008290009
420,A008340,대주코레스,KR7008340002
421,A008350,남선알미늄,KR7008350001
422,A008355,남선알미우,KR7008351009
423,A008370,원풍,KR7008370009
424,A008420,문배철강,KR7008420002
425,A008470,부스타,KR7008470007
426,A008490,서흥,KR7008490005
427,A008500,일정실업,KR7008500001
428,A008560,메리츠증권,KR7008560005
429,A008600,윌비스,KR7008600009
430,A008690,한양,KR7008690000
431,A008700,아남전자,KR7008700007
432,A008730,율촌화학,KR7008730004
433,A008770,호텔신라,KR7008770000
434,A008775,호텔신라,KR7008771008
435,A008830,대동기어,KR7008830002
436,A008870,금비,KR7008870008
437,A008930,한미사이언스,KR7008930000
438,A008970,동양철관,KR7008970006
439,A009070,KCTC,KR7009070004
440,A009140,경인전자,KR7009140005
441,A009150,삼성전기,KR7009150004
442,A009155,삼성전기,KR7009151002
443,A009160,SIMPAC,KR7009160003
444,A009180,한솔로지스틱스,KR7009180001
445,A009190,대양금속,KR7009190000
446,A009200,무림페이퍼,KR7009200007
447,A009240,한샘,KR7009240003
448,A009270,신원,KR7009270000
449,A009275,신원,KR7009271008
450,A009280,다함이텍,KR7009280009
451,A009290,광동제약,KR7009290008
452,A009300,삼아제약,KR7009300005
453,A009310,참엔지니어링,KR7009310004
454,A009320,대우부품,KR7009320003
455,A009410,태영건설,KR7009410002
456,A009415,태영건설,KR7009411000
457,A009420,한올바이오파마,KR7009420001
458,A009440,KC그린홀딩스,KR7009440009
459,A009450,경동나비엔,KR7009450008
460,A009460,한창제지,KR7009460007
461,A009470,삼화전기,KR7009470006
462,A009520,포스코엠텍,KR7009520008
463,A009540,한국조선해양,KR7009540006
464,A009580,무림P&P,KR7009580002
465,A009620,삼보산업,KR7009620006
466,A009680,모토닉,KR7009680000
467,A009730,코센,KR7009730003
468,A009770,삼정펄프,KR7009770009
469,A009780,엠에스씨,KR7009780008
470,A009810,엔케이물산,KR7009810003
471,A009830,한화솔루션,KR7009830001
472,A009835,한화솔루션,KR7009831009
473,A009900,명신산업,KR7009900002
474,A009970,영원무역홀딩스,KR7009970005
475,A010040,한국내화,KR7010040004
476,A010050,우리종금,KR7010050003
477,A010060,OCI,KR7010060002
478,A010090,이마트에브리데이,KR7010090009
479,A010100,한국프랜지,KR7010100006
480,A010120,LS ELECIC,KR7010120004
481,A010130,고려아연,KR7010130003
482,A010140,삼성중공업,KR7010140002
483,A010145,삼성중공우,KR7010141000
484,A010170,대한광통신,KR7010170009
485,A010240,흥국,KR7010240000
486,A010280,쌍용정보통신,KR7010280006
487,A010400,우진아이엔에스,KR7010400000
488,A010420,한솔PNS,KR7010420008
489,A010470,오리콤,KR7010470003
490,A010580,지코,KR7010580009
491,A010600,웰바이오텍,KR7010600005
492,A010620,현대미포조선,KR7010620003
493,A010640,진양폴리,KR7010640001
494,A010660,화천기계,KR7010660009
495,A010690,화신,KR7010690006
496,A010770,평화홀딩스,KR7010770006
497,A010780,아이에스동서,KR7010780005
498,A010820,퍼스텍,KR7010820009
499,A010950,S-Oil,KR7010950004
500,A010955,S-Oil,KR7010951002
501,A010960,삼호개발,KR7010960003
502,A011000,진원생명과학,KR7011000007
503,A011040,경동제약,KR7011040003
504,A011070,LG이노텍,KR7011070000
505,A011080,형지I&C,KR7011080009
506,A011090,에넥스,KR7011090008
507,A011150,CJ씨푸드,KR7011150000
508,A011155,CJ씨푸드,KR7011151008
509,A011170,롯데케미칼,KR7011170008
510,A011200,HMM,KR7011200003
511,A011210,현대위아,KR7011210002
512,A011230,삼화전자,KR7011230000
513,A011280,태림포장,KR7011280005
514,A011300,성안,KR7011300001
515,A011320,유니크,KR7011320009
516,A011330,유니켐,KR7011330008
517,A011370,서한,KR7011370004
518,A011390,부산산업,KR7011390002
519,A011400,아진카인텍,KR7011400009
520,A011420,갤럭시아에스엠,KR7011420007
521,A011500,한농화성,KR7011500006
522,A011560,세보엠이씨,KR7011560000
523,A011690,와이투솔루션,KR7011690005
524,A011700,한신기계,KR7011700002
525,A011760,현대코퍼레이션,KR7011760006
526,A011780,금호석유,KR7011780004
527,A011785,금호석유,KR7011781002
528,A011790,SKC,KR7011790003
529,A011810,STX,KR7011810009
530,A011870,엘티삼보,KR7011870003
531,A011930,신성이엔지,KR7011930005
532,A012030,DB,KR7012030003
533,A012160,영흥,KR7012160008
534,A012170,아센디오,KR7012170007
535,A012200,계양전기,KR7012200002
536,A012205,계양전기,KR7012201000
537,A012280,영화금속,KR7012280004
538,A012320,경동인베스트,KR7012320008
539,A012330,현대모비스,KR7012330007
540,A012340,뉴인텍,KR7012340006
541,A012350,대동모빌리티,KR7012350005
542,A012450,한화에어로스페이스,KR7012450003
543,A012510,더존비즈온,KR7012510004
544,A012580,신세계톰보이,KR7012580007
545,A012600,센트럴인사이트,KR7012600003
546,A012610,경인양행,KR7012610002
547,A012620,원일특강,KR7012620001
548,A012630,HDC,KR7012630000
549,A012670,환영철강공업,KR7012670006
550,A012690,모나리자,KR7012690004
551,A012700,리드코프,KR7012700001
552,A012750,에스원,KR7012750006
553,A012760,동아,KR7012760005
554,A012790,신일제약,KR7012790002
555,A012800,대창,KR7012800009
556,A012860,모베이스전자,KR7012860003
557,A013000,세우글로벌,KR7013000005
558,A013030,하이록코리아,KR7013030002
559,A013090,인켈,KR7013090006
560,A013120,동원개발,KR7013120001
561,A013310,아진산업,KR7013310008
562,A013360,일성건설,KR7013360003
563,A013520,화승코퍼레이션,KR7013520002
564,A013570,디와이,KR7013570007
565,A013580,계룡건설,KR7013580006
566,A013700,까뮤이앤씨,KR7013700000
567,A013720,CBI,KR7013720008
568,A013810,스페코,KR7013810007
569,A013870,지엠비코리아,KR7013870001
570,A013890,지누스,KR7013890009
571,A013900,두원중공업,KR7013900006
572,A013990,아가방컴퍼니,KR7013990007
573,A014100,메디앙스,KR7014100002
574,A014130,한익스프레스,KR7014130009
575,A014160,대영포장,KR7014160006
576,A014190,원익큐브,KR7014190003
577,A014200,광림,KR7014200000
578,A014280,금강공업,KR7014280002
579,A014285,금강공업,KR7014281000
580,A014440,영보화학,KR7014440002
581,A014470,부방,KR7014470009
582,A014530,극동유화,KR7014530000
583,A014570,고려제약,KR7014570006
584,A014580,태경비케이,KR7014580005
585,A014620,성광벤드,KR7014620009
586,A014680,한솔케미칼,KR7014680003
587,A014710,사조씨푸드,KR7014710008
588,A014790,한라,KR7014790000
589,A014820,동원시스템즈,KR7014820005
590,A014825,동원시스템즈,KR7014821003
591,A014830,유니드,KR7014830004
592,A014910,성문전자,KR7014910004
593,A014915,성문전자,KR7014911002
594,A014940,오리엔탈정공,KR7014940001
595,A014970,삼륭물산,KR7014970008
596,A014990,인디에프,KR7014990006
597,A015020,이스타코,KR7015020001
598,A015150,다산,KR7015150006
599,A015200,성원,KR7015200009
600,A015230,대창단조,KR7015230006
601,A015260,에이엔피,KR7015260003
602,A015350,부산가스,KR7015350002
603,A015360,예스코홀딩스,KR7015360001
604,A015540,쎌마테라퓨틱스,KR7015540008
605,A015590,큐로,KR7015590003
606,A015710,코콤,KR7015710007
607,A015750,성우하이텍,KR7015750003
608,A015760,한국전력,KR7015760002
609,A015860,일진홀딩스,KR7015860000
610,A015890,태경산업,KR7015890007
611,A016090,대현,KR7016090003
612,A016100,리더스코스메틱,KR7016100000
613,A016250,SGC이테크건설,KR7016250003
614,A016360,삼성증권,KR7016360000
615,A016380,KG동부제철,KR7016380008
616,A016385,KG동부제철,KR7016381006
617,A016450,한세예스24홀딩스,KR7016450009
618,A016580,환인제약,KR7016580003
619,A016590,신대양제지,KR7016590002
620,A016600,큐캐피탈,KR7016600009
621,A016610,DB금융투자,KR7016610008
622,A016670,인피니티엔티,KR7016670002
623,A016710,대성홀딩스,KR7016710006
624,A016740,두올,KR7016740003
625,A016790,현대사료,KR7016790008
626,A016800,퍼시스,KR7016800005
627,A016880,웅진,KR7016880007
628,A016920,카스,KR7016920001
629,A017000,신원종합개발,KR7017000001
630,A017040,광명전기,KR7017040007
631,A017180,명문제약,KR7017180001
632,A017250,인터엠,KR7017250002
633,A017370,우신시스템,KR7017370008
634,A017390,서울가스,KR7017390006
635,A017480,삼현철강,KR7017480005
636,A017510,세명전기,KR7017510009
637,A017550,수산중공업,KR7017550005
638,A017650,대림제지,KR7017650003
639,A017670,SK텔레콤,KR7017670001
640,A017800,현대엘리베이,KR7017800004
641,A017810,풀무원,KR7017810003
642,A017890,한국알콜,KR7017890005
643,A017900,광전자,KR7017900002
644,A017940,E1,KR7017940008
645,A017960,한국카본,KR7017960006
646,A018000,유니슨,KR7018000000
647,A018120,진로발효,KR7018120006
648,A018250,애경산업,KR7018250001
649,A018260,삼성에스디에스,KR7018260000
650,A018290,브이티지엠피,KR7018290007
651,A018310,삼목에스폼,KR7018310003
652,A018360,삼성메디슨,KR7018360008
653,A018470,조일알미늄,KR7018470005
654,A018500,동원금속,KR7018500009
655,A018620,우진비앤지,KR7018620005
656,A018670,SK가스,KR7018670000
657,A018680,서울제약,KR7018680009
658,A018700,바른손,KR7018700005
659,A018880,한온시스템,KR7018880005
660,A019010,베뉴지,KR7019010008
661,A019170,신풍제약,KR7019170000
662,A019175,신풍제약,KR7019171008
663,A019180,티에이치엔,KR7019180009
664,A019210,와이지-원,KR7019210004
665,A019440,세아특수강,KR7019440007
666,A019490,하이트론,KR7019490002
667,A019540,일지테크,KR7019540004
668,A019550,SBI인베스트먼트,KR7019550003
669,A019570,리더스 기술투자,KR7019570001
670,A019590,엠벤처투자,KR7019590009
671,A019660,글로본,KR7019660000
672,A019680,대교,KR7019680008
673,A019685,대교,KR7019681006
674,A019770,서연탑메탈,KR7019770007
675,A019990,에너토크,KR7019990001
676,A020000,한섬,KR7020000006
677,A020120,키다리스튜디오,KR7020120002
678,A020150,일진머티리얼즈,KR7020150009
679,A020180,대신정보통신,KR7020180006
680,A020400,대동금속,KR7020400008
681,A020560,아시아나항공,KR7020560009
682,A020710,시공테크,KR7020710000
683,A020760,일진디스플,KR7020760005
684,A020920,코리아로터리,KR7020920005
685,A021040,대호특수강,KR7021040001
686,A021045,대호특수강,KR7021041009
687,A021050,서원,KR7021050000
688,A021080,에이티넘인베스트,KR7021080007
689,A021240,코웨이,KR7021240007
690,A021320,KCC건설,KR7021320007
691,A021650,한국큐빅,KR7021650007
692,A021820,세원정공,KR7021820006
693,A021880,메이슨캐피탈,KR7021880000
694,A022100,포스코 ICT,KR7022100002
695,A022220,정산애강,KR7022220008
696,A023000,삼원강재,KR7023000003
697,A023150,MH에탄올,KR7023150006
698,A023160,태광,KR7023160005
699,A023350,한국종합기술,KR7023350002
700,A023410,유진기업,KR7023410004
701,A023440,제일제강,KR7023440001
702,A023450,동남,KR7023450000
703,A023460,CNH,KR7023460009
704,A023530,롯데쇼핑,KR7023530009
705,A023590,다우기술,KR7023590003
706,A023600,삼보판지,KR7023600000
707,A023760,한국캐피탈,KR7023760002
708,A023770,플레이위드,KR7023770001
709,A023790,동일철강,KR7023790009
710,A023800,인지컨트롤스,KR7023800006
711,A023810,인팩,KR7023810005
712,A023900,풍국주정,KR7023900004
713,A023910,대한약품,KR7023910003
714,A023960,에쓰씨엔지니어링,KR7023960008
715,A024060,흥구석유,KR7024060006
716,A024070,WISCOM,KR7024070005
717,A024090,디씨엠,KR7024090003
718,A024110,기업은행,KR7024110009
719,A024120,KB오토시스,KR7024120008
720,A024720,한국콜마홀딩스,KR7024720005
721,A024740,한일단조,KR7024740003
722,A024800,유성티엔에스,KR7024800005
723,A024810,이화전기,KR7024810004
724,A024830,세원물산,KR7024830002
725,A024840,KBI메탈,KR7024840001
726,A024850,피에스엠씨,KR7024850000
727,A024880,케이피에프,KR7024880007
728,A024890,대원화성,KR7024890006
729,A024900,덕양산업,KR7024900003
730,A024910,경창산업,KR7024910002
731,A024940,PN풍년,KR7024940009
732,A024950,삼천리자전거,KR7024950008
733,A025000,KPX케미칼,KR7025000001
734,A025100,포스코건설,KR7025100009
735,A025320,시노펙스,KR7025320003
736,A025440,대성엘텍,KR7025440009
737,A025530,SJM홀딩스,KR7025530007
