,제목,조회수
0,(ENG) 인생샷 찍다가 PD언니랑 손절각...? ( ??????????? ) ? 화려한 목포가 츄를 싸악 감싸네??| 지켜츄 EP21,조회수 6.2천회
1,,1.3천명 시청 중
2,안녕하세요~ 츄예여 ????)ノ? 오늘 츄는 한국관광공사 덕분에 무안과 목포에 다녀왔어요! ?(^∇^?） 오늘 지켜츄 팀이랑 처음으로?...,조회수 579만회
3,안녕하세요~ 츄예여 ????)ノ? 오늘 츄는 한국관광공사 덕분에 무안과 목포에 다녀왔어요! ?(^∇^?） 오늘 지켜츄 팀이랑 처음으로?...,4.4천명 시청 중
4,(ENG) 요즘 내 동년배들 다 파주 전망대 간다? 망원경으로 보이는 민트 건물의 정체?! 뚜둔 | 지켜츄 EP20,조회수 199만회
5,,조회수 191만회
6,"그럼, 오늘 츄는 평화를 지켰다 츄 ~~ #유료광고 #츄 #지켜츄 #평화를지켜츄 #통일교육원 #츄튜브 #구독 #좋아요 #알림설정?...",조회수 279만회
7,"그럼, 오늘 츄는 평화를 지켰다 츄 ~~ #유료광고 #츄 #지켜츄 #평화를지켜츄 #통일교육원 #츄튜브 #구독 #좋아요 #알림설정?...",조회수 146만회
8,[신남 강쥐] 아니 여기를 찍으셔야 할 거 같은데? 너무 신기하다! 대박!! [지구를 지켜츄 / 본 영상은 유료 광고를 포함하고 있습니다]?...,조회수 112만회
9,[신남 강쥐] 아니 여기를 찍으셔야 할 거 같은데? 너무 신기하다! 대박!! [지구를 지켜츄 / 본 영상은 유료 광고를 포함하고 있습니다]?...,조회수 52만회
10,(ENG) ?개밥그릇?에 케이크 주는 곳이 있다?! 일회용품 없는 카페 알바 체험 | 지켜츄 EP1,조회수 97만회
11,,조회수 287만회
12,♡-(?˙?˙?)-♡ #츄 #지구를지켜츄 #지켜츄 #츄유튜브 #구독 #좋아요 #알림설정 STAFF 촬영 : 그림형제 음향 : 빅스톤스튜디오 믹싱?...,조회수 108만회
13,♡-(?˙?˙?)-♡ #츄 #지구를지켜츄 #지켜츄 #츄유튜브 #구독 #좋아요 #알림설정 STAFF 촬영 : 그림형제 음향 : 빅스톤스튜디오 믹싱?...,조회수 155만회
14,(ENG) 츄랑 쇼핑하실 분~? 명품 FLEX?로 새학기 봄 스타일링 7가지 ?  (feat. 프리지아) ㅣ EP11,조회수 35만회
15,,조회수 47만회
16,그럼 츄는 오늘도 지구를 지켰다츄! -(?˙?˙?)-   #츄????? #지구를지켜츄????? #지켜츄????? #free지아 #츄튜브???...,조회수 78만회
17,그럼 츄는 오늘도 지구를 지켰다츄! -(?˙?˙?)-   #츄????? #지구를지켜츄????? #지켜츄????? #free지아 #츄튜브???...,829명 시청 중
18,[지구를 지켜츄] [츄 car] 오늘 경기도 까지 왔어요. 머나먼 경기도. [(도착)] 머나먼 경기도~ [아앟ㅎ] 안녕하세요! [(안녕히계세요)/덩?...,조회수 61만회
19,[지구를 지켜츄] [츄 car] 오늘 경기도 까지 왔어요. 머나먼 경기도. [(도착)] 머나먼 경기도~ [아앟ㅎ] 안녕하세요! [(안녕히계세요)/덩?...,조회수 69만회
20,(ENG) 이 세상 플라스틱 모조리 빻아버리는 K-방앗간 클라스 ㅎㄷㄷ | 지켜츄 EP5,조회수 229만회
21,,1.4천명 시청 중
22,그럼 오늘도 츄는 지구를 지켰다츄! ♡-(?˙?˙?)-♡ #츄? #지구를지켜츄? #지켜츄? #츄유튜브? #친환경 #에코 #구독??...,조회수 205만회
23,그럼 오늘도 츄는 지구를 지켰다츄! ♡-(?˙?˙?)-♡ #츄? #지구를지켜츄? #지켜츄? #츄유튜브? #친환경 #에코 #구독??...,272명 시청 중
24,"[지구를 지켜츄] 안녕하세요 여러분! 오늘의 지켜츄는 줍깅이래요, 줍깅. [근데..] 줍깅이 뭐예요? [줍깅 - '줍다'와 '조깅'의 합성어로?...",조회수 106만회
25,"[지구를 지켜츄] 안녕하세요 여러분! 오늘의 지켜츄는 줍깅이래요, 줍깅. [근데..] 줍깅이 뭐예요? [줍깅 - '줍다'와 '조깅'의 합성어로?...",조회수 8.9만회
26,(ENG) 이 영상 보면 배달시키게 됨. 당연함. ??? 철이 없었죠... 일회용품이 싫어서 배민라이더를 했다는 게... | 지켜츄 EP19,조회수 41만회
27,,조회수 8.6만회
28,안녕하세요~ 츄예여 ????)ノ? 츄꾸미들?? 오늘은 PD 작가 언니들 편집실 앞에 나와있는데요 배민커넥트 츄로 변신해서 언니들?...,조회수 28만회
29,안녕하세요~ 츄예여 ????)ノ? 츄꾸미들?? 오늘은 PD 작가 언니들 편집실 앞에 나와있는데요 배민커넥트 츄로 변신해서 언니들?...,조회수 36만회
30,"[ENG SUB]테슬라 오너 지석진의 유아인의 차, 테슬라 X 리뷰! 람보르기니보다 빠른 제로백 2.8초? (Tesla X Review)",조회수 90만회
31,,조회수 1만회
32,안녕 진주들!! 오늘은 테슬라 리뷰 2탄! 테슬라 X 리뷰!!!! 테슬라에서 처음으로 낸 SUV라고 하는데 얘가 람보르기니보다 빠르대!,조회수 29만회
33,안녕 진주들!! 오늘은 테슬라 리뷰 2탄! 테슬라 X 리뷰!!!! 테슬라에서 처음으로 낸 SUV라고 하는데 얘가 람보르기니보다 빠르대!,조회수 51만회
34,(ENG) ?츄의 레드카펫 챌린지? 대학생 학과별 패션 정리합니다. l 오떼르 미션컴플릿츄 [Ep. 7],조회수 29만회
35,,조회수 134만회
36,기분 나쁠 땐 거울 보면서 이 포즈를 따라해 보세요. 떼-하! ? つ ?_? ?つ ?중간고사 끝나고 쇼핑으로 스트레스 해소하는 우리?...,조회수 247만회
37,기분 나쁠 땐 거울 보면서 이 포즈를 따라해 보세요. 떼-하! ? つ ?_? ?つ ?중간고사 끝나고 쇼핑으로 스트레스 해소하는 우리?...,조회수 99만회
38,(EN) ? '가수 비 친필 싸인 앨범 싸게 팝니다' 이걸 파네...? ㅣ시즌비시즌 ep.30,조회수 62만회
39,,조회수 47만회
40,씨엠케이씨엠 #당근마켓 #중고거래 *본 영상은 '삼성전자'의 유료광고 내용을 포함하고 있습니다. 첫 당근거래에 상처만 남은 두 사람?...,조회수 40만회
41,씨엠케이씨엠 #당근마켓 #중고거래 *본 영상은 '삼성전자'의 유료광고 내용을 포함하고 있습니다. 첫 당근거래에 상처만 남은 두 사람?...,조회수 170만회
42,이달의소녀_와이낫_댓글모음,조회수 282만회
43,,조회수 59만회
44,???? : viditor@sandboxnetwork.net.,조회수 76만회
45,???? : viditor@sandboxnetwork.net.,조회수 103만회
46,(ENG) 로또 용지? 일쓰일까? 종이일까? 헷갈리는 분리수거 시험봤습니다 | 지켜츄 EP4,조회수 111만회
47,,조회수 34만회
48,김지우 바보 누구야 ㅋㅋㅋ 안녕하세요~ 츄예여 ????)ノ? 오늘은 제1회 지구를 지켜츄 분리고사를 봤어요. 70점 넘어야 합격이래요.,조회수 111만회
49,김지우 바보 누구야 ㅋㅋㅋ 안녕하세요~ 츄예여 ????)ノ? 오늘은 제1회 지구를 지켜츄 분리고사를 봤어요. 70점 넘어야 합격이래요.,조회수 105만회
50,오늘의 지켜츄! 분리배출 모의고사! [지구를 지켜츄] [오랜만에 교복 입고 학교에 와 있는 츄] 오늘 뭐 하는지 아세요? 여기 약간 교실?...,조회수 52만회
51,오늘의 지켜츄! 분리배출 모의고사! [지구를 지켜츄] [오랜만에 교복 입고 학교에 와 있는 츄] 오늘 뭐 하는지 아세요? 여기 약간 교실?...,조회수 94만회
52,(ENG) 츄가 만든 비건 버거 맛없다고 한 사람? ?(탕!) 또 있나? | 지켜츄 EP3,조회수 40만회
53,,조회수 16만회
54,그럼 오늘도 지구를 지켰다츄! ♡-(?˙?˙?)-♡ #츄 #지구를지켜츄 #지켜츄 #츄유튜브 #구독 #좋아요 #알림설정 STAFF 촬영 : 그림?...,조회수 33만회
55,그럼 오늘도 지구를 지켰다츄! ♡-(?˙?˙?)-♡ #츄 #지구를지켜츄 #지켜츄 #츄유튜브 #구독 #좋아요 #알림설정 STAFF 촬영 : 그림?...,조회수 51만회
56,"[지구를 지켜츄] 짠! 오늘의 지켜츄! 비건 버거 만들기! 햄버거 평소에 좋아하세요? 엄청 좋아해요. 버거짱, 로또리아, 맥do날드 햄버거를?...",조회수 67만회
57,"[지구를 지켜츄] 짠! 오늘의 지켜츄! 비건 버거 만들기! 햄버거 평소에 좋아하세요? 엄청 좋아해요. 버거짱, 로또리아, 맥do날드 햄버거를?...",조회수 51만회
58,(ENG) 제목은 ?호불호 음료? 리뷰로 하겠습니다 근데 이제 친환경 빨대를 곁들인...? | 지켜츄 EP6,조회수 4.3만회
59,,조회수 29만회
60,"안녕하세요~ 츄예여 ????)ノ? 민초가  세상을  지배  한다     오늘은 친환경 빨대, 그리고 호불호 음료들을 리뷰해보았어요?...",조회수 47만회
61,"안녕하세요~ 츄예여 ????)ノ? 민초가  세상을  지배  한다     오늘은 친환경 빨대, 그리고 호불호 음료들을 리뷰해보았어요?...",조회수 69만회
62,(ENG) 그동안 사랑해주셔서 감사합니다 | 지켜츄 EP14,조회수 2.2만회
63,,조회수 175회
64,안녕하세요~ 츄예여 ????)ノ? 그동안 지구를 지켜츄를 사랑해주셔서 감사합니다 . . . 놀란 츄꾸미들 미안해요 지켜츄는 시즌1?...,조회수 25만회
65,안녕하세요~ 츄예여 ????)ノ? 그동안 지구를 지켜츄를 사랑해주셔서 감사합니다 . . . 놀란 츄꾸미들 미안해요 지켜츄는 시즌1?...,조회수 36만회
66,오늘이 사실은 '지구를 지켜츄' 마지막입니다. -진짜? -진짜요? -몰랐어? [지구를 지켜츄] [상암 CJ ENM센터 / (덜그럭) (덜그럭)]?...,조회수 33만회
67,오늘이 사실은 '지구를 지켜츄' 마지막입니다. -진짜? -진짜요? -몰랐어? [지구를 지켜츄] [상암 CJ ENM센터 / (덜그럭) (덜그럭)]?...,조회수 152만회
68,(ENG) 사주로 본 츄의 운명... 츄가 우릴 먹여 살린다고?! ??♀?(넙죽) | 지켜츄 EP16,조회수 83만회
69,,조회수 60만회
70,안녕하세요~ 츄예여 ????)ノ? 오늘 첫 오프시즌으로 찾아온 지켜츄는 바로 '운명'을 지켜츄?!?! 비미멤 희진이랑 함께 2021 사주를?...,조회수 9.2만회
71,안녕하세요~ 츄예여 ????)ノ? 오늘 첫 오프시즌으로 찾아온 지켜츄는 바로 '운명'을 지켜츄?!?! 비미멤 희진이랑 함께 2021 사주를?...,조회수 5.1천회
72,[기절] [지구를 지켜츄/다음에 뭐하지?] [쓱쓱] [집중] 안녕하세요~ 지구를 지켜츄! 근데 저희가 지구를 지켜츄 이제 시즌1이 끝났잖아요.,조회수 5.6만회
73,[기절] [지구를 지켜츄/다음에 뭐하지?] [쓱쓱] [집중] 안녕하세요~ 지구를 지켜츄! 근데 저희가 지구를 지켜츄 이제 시즌1이 끝났잖아요.,업데이트: 3일 전
74,(ENG) ?당근마켓?에서 포카 파는 탈덕 참교육? 츄의 매너온도에 동상 입고 갑니다... | 지켜츄 EP13,조회수 5.6천회
75,,조회수 8.1천회
76,-(?˙?˙?)-   #츄?????? #지구를지켜츄?????? #지켜츄??????? #츄튜브??? #에코????? #구독???????...,조회수 47만회
77,-(?˙?˙?)-   #츄?????? #지구를지켜츄?????? #지켜츄??????? #츄튜브??? #에코????? #구독???????...,조회수 7.6천회
78,[분노를 담은 손가락] 혹시 포카 판매하시나요? 전화할 수 없나? 당근 마켓? [지구를 지켜츄] 안녕하세요~ [토끼] 츄예요~ 오늘 뭐?...,조회수 5.9만회
79,[분노를 담은 손가락] 혹시 포카 판매하시나요? 전화할 수 없나? 당근 마켓? [지구를 지켜츄] 안녕하세요~ [토끼] 츄예요~ 오늘 뭐?...,조회수 778회
80,(ENG) 포카리 모델이었는데요 이제 아닙니다? 츄 VS 포카리스웨트 500병 | 지켜츄 EP18,조회수 3.8천회
81,,조회수 25만회
82,... 와 함께 지구를 지켰다 츄 ~ #유료광고 #츄?????? #지구를지켜츄?????? #지켜츄? #포카리스웨트????? #츄튜브????...,조회수 1.5천회
83,... 와 함께 지구를 지켰다 츄 ~ #유료광고 #츄?????? #지구를지켜츄?????? #지켜츄? #포카리스웨트????? #츄튜브????...,조회수 3.1만회
84,[지켜츄] [(지켜츄 노동 현장)] 이거 지금 더 오셔야 돼요. 저와 눈이 마주친 그대여? [일제히 시선 회피] [지구를 지켜츄] [축 / 모델] 라?...,조회수 617회
85,[지켜츄] [(지켜츄 노동 현장)] 이거 지금 더 오셔야 돼요. 저와 눈이 마주친 그대여? [일제히 시선 회피] [지구를 지켜츄] [축 / 모델] 라?...,조회수 6.6천회
86,미선을 지켜츄? 보스의 존맛 떡볶이 레시피 공개(빠밤) | [미선이네???],조회수 19만회
87,,조회수 11만회
88,요원들 ~ 요하  ?♀? 오늘은 정말 요즘 대세인 분을 초대했습니다. 바로 이달의 소녀 츄! 정말 이렇게 귀여운 생명체는 어디서 온?...,조회수 2.4만회
89,요원들 ~ 요하  ?♀? 오늘은 정말 요즘 대세인 분을 초대했습니다. 바로 이달의 소녀 츄! 정말 이렇게 귀여운 생명체는 어디서 온?...,조회수 3.4천회
90,우리 츄! 지구를 지켜츄! [박츄꾸미] 나 봤어! [같속] DIA TV의 선배님이시잖아요~ 그렇지! [DIA TV 뿌리 / DIA TV 새싹] 같은 회사 소속?...,조회수 20만회
91,우리 츄! 지구를 지켜츄! [박츄꾸미] 나 봤어! [같속] DIA TV의 선배님이시잖아요~ 그렇지! [DIA TV 뿌리 / DIA TV 새싹] 같은 회사 소속?...,조회수 125회
92,(ENG) ?테슬라? 살까 말까? 계좌를... 아니 환경을 지키는 전기차 타고 출근하기???  | 지켜츄 EP2,조회수 10회
93,,조회수 4.4만회
